"Library Name";"Library Type";"Library Language";"title";"Resolution";"originalTitle";"SeasonNames";"SeasonNumbers";"SeasonRatingKeys";"year";"tvdbid";"imdbid";"tmdbid";"ratingKey";"Path";"RootFoldername";"extraFolder";"MultipleVersions";"PlexPosterUrl";"PlexBackgroundUrl";"PlexSeasonUrls";"Labels"
"4K";"movie";"de";"1 Million Followers";"4K DoVi/HDR10";;;;;"2024";"361297";"tt20031676";"1117126";"230729";"/mnt/unionfs/4K/";"1 Million Followers (2024) {tmdb-1117126}";;"False";"/library/metadata/230729/thumb/1752916059";"/library/metadata/230729/art/1752916059";;""
"4K";"movie";"de";"2 Fast 2 Furious";"4K DoVi/HDR10";;;;;"2003";"20800";"tt0322259";"584";"225266";"/mnt/unionfs/4K/";"2 Fast 2 Furious (2003) {tmdb-584}";;"False";"/library/metadata/225266/thumb/1751075525";"/library/metadata/225266/art/1751075525";;""
"4K";"movie";"de";"3 Engel für Charlie";"4K HDR10";"Charlie's Angels";;;;"2000";"3810";"tt0160127";"4327";"147671";"/mnt/unionfs/4K/";"Charlies Angels (2000) {tmdb-4327}";;"False";"/library/metadata/147671/thumb/1748654514";"/library/metadata/147671/art/1748654514";;""
"4K";"movie";"de";"6 Days";"4K HDR10";;;;;"2017";"1627";"tt4703048";"347984";"241676";"/mnt/unionfs/4K/";"6 Days (2017) {tmdb-347984}";;"False";"/library/metadata/241676/thumb/1758913331";"/library/metadata/241676/art/1758913331";;""
"4K";"movie";"de";"6 Underground";"4K DoVi/HDR10";;;;;"2019";"16304";"tt8106534";"509967";"127716";"/mnt/unionfs/4K/";"6 Underground (2019) {tmdb-509967}";;"False";"/library/metadata/127716/thumb/1748601390";"/library/metadata/127716/art/1748601390";;""
"4K";"movie";"de";"7 Tage in Entebbe";"4K HDR10";"Entebbe";;;;"2018";"1752";"tt5466186";"433627";"127727";"/mnt/unionfs/4K/";"7 Days in Entebbe (2018) {tmdb-433627}";;"False";"/library/metadata/127727/thumb/1748653485";"/library/metadata/127727/art/1748653485";;""
"4K";"movie";"de";"10 Dinge, die ich an Dir hasse";"4K HDR10";"10 Things I Hate About You";;;;"1999";"836";"tt0147800";"4951";"237383";"/mnt/unionfs/4K/";"10 Things I Hate About You (1999) {tmdb-4951}";;"False";"/library/metadata/237383/thumb/1756689859";"/library/metadata/237383/art/1756689859";;""
"4K";"movie";"de";"13 Hours: The Secret Soldiers of Benghazi";"4K HDR10";;;;;"2016";"849";"tt4172430";"300671";"238691";"/mnt/unionfs/4K/";"13 Hours The Secret Soldiers of Benghazi (2016) {tmdb-300671}";;"False";"/library/metadata/238691/thumb/1757385433";"/library/metadata/238691/art/1757385433";;""
"4K";"movie";"de";"15:17 nach Paris";"4K HDR10";"The 15:17 to Paris";;;;"2018";"1794";"tt6802308";"453201";"239368";"/mnt/unionfs/4K/";"The 15 - 17 to Paris (2018) {tmdb-453201}";;"False";"/library/metadata/239368/thumb/1758068610";"/library/metadata/239368/art/1758068610";;""
"4K";"movie";"de";"21 Bridges - Jagd durch Manhattan";"4K HDR10";"21 Bridges";;;;"2019";"22403";"tt8688634";"535292";"127712";"/mnt/unionfs/4K/";"21 Bridges (2019) {tmdb-535292}";;"False";"/library/metadata/127712/thumb/1748739420";"/library/metadata/127712/art/1748739420";;""
"4K";"movie";"de";"22 gegen die Erde";"4K DoVi";"22 vs. Earth";;;;"2021";"159601";"tt14499632";"811367";"217154";"/mnt/unionfs/4K/";"22 vs. Earth (2021) {tmdb-811367}";;"False";"/library/metadata/217154/thumb/1749412745";"/library/metadata/217154/art/1749412745";;""
"4K";"movie";"de";"22. Juli";"4K DoVi/HDR10";"22 July";;;;"2018";"968";"tt7280898";"474354";"243074";"/mnt/unionfs/4K/";"22 July (2018) {tmdb-474354}";;"False";"/library/metadata/243074/thumb/1759303708";"/library/metadata/243074/art/1759303708";;""
"4K";"movie";"de";"28 Years Later";"4K DoVi/HDR10";;;;;"2025";"307356";"tt10548174";"1100988";"243787";"/mnt/unionfs/4K/";"28 Years Later (2025) {tmdb-1100988}";;"False";"/library/metadata/243787/thumb/1759462282";"/library/metadata/243787/art/1759462282";;""
"4K";"movie";"de";"47 Ronin";"4K HDR10";;;;;"2013";"1535";"tt1335975";"64686";"127715";"/mnt/unionfs/4K/";"47 Ronin (2013) {tmdb-64686}";;"False";"/library/metadata/127715/thumb/1748601394";"/library/metadata/127715/art/1748601394";;""
"4K";"movie";"de";"The 355";"4K DoVi/HDR10";;;;;"2022";"109402";"tt8356942";"522016";"238799";"/mnt/unionfs/4K/";"The 355 (2022) {tmdb-522016}";;"False";"/library/metadata/238799/thumb/1757396547";"/library/metadata/238799/art/1757396547";;""
"4K";"movie";"de";"365 Days";"4K";"365 dni";;;;"2020";"132447";"tt10886166";"664413";"127714";"/mnt/unionfs/4K/";"365 Days (2020) {tmdb-664413}";;"False";"/library/metadata/127714/thumb/1748601394";"/library/metadata/127714/art/1748601394";;""
"4K";"movie";"de";"1917";"4K HDR10";;;;;"2019";"30526";"tt8579674";"530915";"127710";"/mnt/unionfs/4K/";"1917 (2019) {tmdb-530915}";;"False";"/library/metadata/127710/thumb/1748740245";"/library/metadata/127710/art/1748740245";;""
"4K";"movie";"de";"2012 - Das Ende der Welt";"4K HDR10";"2012";;;;"2009";"678";"tt1190080";"14161";"238911";"/mnt/unionfs/4K/";"2012 (2009) {tmdb-14161}";;"False";"/library/metadata/238911/thumb/1757503693";"/library/metadata/238911/art/1757503693";;""
"4K";"movie";"de";"7500";"4K HDR10";;;;;"2019";"95834";"tt6436726";"509585";"127726";"/mnt/unionfs/4K/";"7500 (2019) {tmdb-509585}";;"False";"/library/metadata/127726/thumb/1748737920";"/library/metadata/127726/art/1748737920";;""
"4K";"movie";"de";"Accident Man - Hitman's Holiday";"4K";"Accident Man: Hitman's Holiday";;;;"2022";"340896";"tt9669176";"879444";"204422";"/mnt/unionfs/4K/";"Accident Man Hitmans Holiday (2022) {tmdb-879444}";;"False";"/library/metadata/204422/thumb/1748655237";"/library/metadata/204422/art/1748655237";;""
"4K";"movie";"de";"The Accidental Getaway Driver";"4K";;;;;"2025";"351991";"tt22751422";"1058615";"204436";"/mnt/unionfs/4K/";"The Accidental Getaway Driver (2023) {tmdb-1058615}";;"False";"/library/metadata/204436/thumb/1748601399";"/library/metadata/204436/art/1748601399";;""
"4K";"movie";"de";"The Accountant";"4K DoVi/HDR10";;;;;"2016";"940";"tt2140479";"302946";"162570";"/mnt/unionfs/4K/";"The Accountant (2016) {tmdb-302946}";;"False";"/library/metadata/162570/thumb/1748601399";"/library/metadata/162570/art/1748601399";;""
"4K";"movie";"de";"The Accountant 2";"4K DoVi/HDR10";;;;;"2025";"357993";"tt7068946";"870028";"214506";"/mnt/unionfs/4K/";"The Accountant 2 (2025) {tmdb-870028}";;"False";"/library/metadata/214506/thumb/1749170145";"/library/metadata/214506/art/1749170145";;""
"4K";"movie";"de";"Ad Astra - Zu den Sternen";"4K HDR10";"Ad Astra";;;;"2019";"9229";"tt2935510";"419704";"239874";"/mnt/unionfs/4K/";"Ad Astra (2019) {tmdb-419704}";;"False";"/library/metadata/239874/thumb/1758245598";"/library/metadata/239874/art/1758245598";;""
"4K";"movie";"de";"After Earth";"4K HDR10";;;;;"2013";"1990";"tt1815862";"82700";"238811";"/mnt/unionfs/4K/";"After Earth (2013) {tmdb-82700}";;"False";"/library/metadata/238811/thumb/1757469160";"/library/metadata/238811/art/1757469160";;""
